plant_id,plant_lat,plant_lon,TZ,UTCOffset
3,31.0069,-88.0103,America/Chicago,-6
7,34.0128,-85.9708,America/Chicago,-6
8,33.6446,-87.2003,America/Chicago,-6
9,31.7569,-106.375,America/Denver,-7
10,32.6017,-87.7811,America/Chicago,-6
26,33.2442,-86.4567,America/Chicago,-6
47,34.7439,-87.8486,America/Chicago,-6
50,34.8825,-85.7547,America/Chicago,-6
51,32.0306,-93.5692,America/Chicago,-6
54,37.8824,-84.1025,America/New_York,-5
56,31.4858,-87.9106,America/Chicago,-6
59,40.8538,-98.3481,America/Chicago,-6
60,40.5806,-98.3106,America/Chicago,-6
87,35.4159,-108.082,America/Denver,-7
108,37.9306,-100.9725,America/Chicago,-6
113,34.9394,-110.3033,America/Phoenix,-7
116,33.4225,-111.9122,America/Phoenix,-7
117,33.4417,-112.1583,America/Phoenix,-7
118,32.5517,-111.3,America/Phoenix,-7
120,32.7214,-114.7097,America/Phoenix,-7
124,32.2511,-110.9889,America/Phoenix,-7
126,32.16,-110.9047,America/Phoenix,-7
127,34.0825,-99.1753,America/Chicago,-6
130,33.3692,-80.1119,America/New_York,-5
136,29.7333,-81.6339,America/New_York,-5
141,33.5542,-112.2161,America/Phoenix,-7
147,33.3544,-111.9364,America/Phoenix,-7
160,32.0619,-109.8931,America/Phoenix,-7
165,36.1906,-95.2889,America/Chicago,-6
167,34.7535,-92.1987,America/Chicago,-6
168,34.9806,-90.8722,America/Chicago,-6
169,33.3592,-93.4649,America/Chicago,-6
170,34.4341,-92.9046,America/Chicago,-6
173,34.4629,-90.5987,America/Chicago,-6
201,35.4617,-93.8053,America/Chicago,-6
202,35.2597,-91.3631,America/Chicago,-6
203,33.5648,-92.7917,America/Chicago,-6
207,30.4311,-81.5508,America/New_York,-5
228,38.0184,-121.761,America/Los_Angeles,-8
246,40.7415,-124.2103,America/Los_Angeles,-8
259,35.3747,-120.8578,America/Los_Angeles,-8
260,36.8042,-121.7775,America/Los_Angeles,-8
271,38.0392,-121.894,America/Los_Angeles,-8
273,37.7558,-122.3869,America/Los_Angeles,-8
298,31.4219,-96.2525,America/Chicago,-6
302,33.1408,-117.3342,America/Los_Angeles,-8
310,32.6131,-117.0964,America/Los_Angeles,-8
315,33.7688,-118.1009,America/Los_Angeles,-8
329,34.8622,-116.854,America/Los_Angeles,-8
330,33.9106,-118.425,America/Los_Angeles,-8
331,34.0911,-117.5256,America/Los_Angeles,-8
335,33.6436,-117.9788,America/Los_Angeles,-8
341,33.7641,-118.2248,America/Los_Angeles,-8
345,34.2072,-119.2511,America/Los_Angeles,-8
350,34.1292,-119.1689,America/Los_Angeles,-8
356,33.8504,-118.395,America/Los_Angeles,-8
358,34.0836,-117.2408,America/Los_Angeles,-8
377,34.1556,-118.2782,America/Los_Angeles,-8
384,41.4947,-88.125,America/Chicago,-6
389,32.8022,-115.54,America/Los_Angeles,-8
399,33.7691,-118.2662,America/Los_Angeles,-8
400,33.7639,-118.0942,America/Los_Angeles,-8
404,33.9175,-118.4258,America/Los_Angeles,-8
408,34.2481,-118.3903,America/Los_Angeles,-8
420,34.1263,-118.1494,America/Los_Angeles,-8
422,34.1256,-118.1474,America/Los_Angeles,-8
465,39.67,-105.0028,America/Denver,-7
468,39.1486,-108.3189,America/Denver,-7
469,39.8078,-104.9648,America/Denver,-7
470,38.2081,-104.5747,America/Denver,-7
477,40.0195,-105.202,America/Denver,-7
478,39.7369,-105.0169,America/Denver,-7
492,38.8244,-104.8331,America/Denver,-7
508,38.0921,-102.6148,America/Denver,-7
525,40.4856,-107.185,America/Denver,-7
527,38.2387,-108.5083,America/Denver,-7
533,31.4001,-86.4767,America/Chicago,-6
540,41.2925,-72.7942,America/New_York,-5
542,41.0289,-73.5989,America/New_York,-5
544,41.2083,-73.1092,America/New_York,-5
546,41.4281,-72.1019,America/New_York,-5
548,41.0732,-73.4098,America/New_York,-5
557,41.5553,-72.0419,America/New_York,-5
561,41.7994,-73.1156,America/New_York,-5
562,41.5544,-72.5793,America/New_York,-5
563,41.7495,-72.6524,America/New_York,-5
564,28.4836,-81.1686,America/New_York,-5
565,41.7761,-73.1219,America/New_York,-5
568,41.1706,-73.1843,America/New_York,-5
581,41.5269,-72.0631,America/New_York,-5
589,44.4917,-73.2081,America/New_York,-5
591,39.7302,-75.5371,America/New_York,-5
592,39.5959,-75.6324,America/New_York,-5
593,39.7372,-75.5033,America/New_York,-5
594,38.5857,-75.2341,America/New_York,-5
597,39.7283,-75.6289,America/New_York,-5
599,39.1748,-75.5455,America/New_York,-5
602,39.1792,-76.5383,America/New_York,-5
603,38.8994,-76.9592,America/New_York,-5
607,48.4553,-122.435,America/Los_Angeles,-8
609,28.4694,-80.7642,America/New_York,-5
610,25.6321,-80.2989,America/New_York,-5
612,26.6967,-81.7831,America/New_York,-5
613,26.0681,-80.1983,America/New_York,-5
617,26.0856,-80.1253,America/New_York,-5
619,26.7653,-80.0528,America/New_York,-5
620,28.8419,-81.3256,America/New_York,-5
621,25.4356,-80.3308,America/New_York,-5
624,27.5792,-81.4925,America/New_York,-5
627,27.7578,-82.6369,America/New_York,-5
628,28.9594,-82.7003,America/New_York,-5
629,28.8689,-81.2728,America/New_York,-5
630,28.0037,-82.6626,America/New_York,-5
634,27.8613,-82.6012,America/New_York,-5
638,30.3764,-83.1806,America/New_York,-5
641,30.5661,-87.2289,America/Chicago,-6
642,30.6689,-84.8869,America/Chicago,-6
643,30.2689,-85.7003,America/Chicago,-6
645,27.7944,-82.4036,America/New_York,-5
663,29.7586,-82.3883,America/New_York,-5
664,29.6467,-82.3219,America/New_York,-5
666,30.3644,-81.6236,America/New_York,-5
667,30.4172,-81.5525,America/New_York,-5
672,28.2908,-81.4069,America/New_York,-5
673,26.6125,-80.0678,America/New_York,-5
675,28.0491,-81.9238,America/New_York,-5
676,28.0809,-81.9256,America/New_York,-5
683,28.4933,-80.7825,America/New_York,-5
688,30.4522,-84.4,America/New_York,-5
689,30.1619,-84.2014,America/New_York,-5
693,27.6311,-80.3758,America/New_York,-5
703,34.1256,-84.9192,America/New_York,-5
708,34.2533,-85.3456,America/New_York,-5
709,33.1942,-83.2994,America/New_York,-5
710,33.8244,-84.475,America/New_York,-5
715,31.2125,-81.5458,America/New_York,-5
727,31.4444,-84.1322,America/New_York,-5
728,33.4622,-84.8986,America/New_York,-5
733,32.1486,-81.1458,America/New_York,-5
762,36.7205,-97.0868,America/Chicago,-6
856,40.5958,-89.6631,America/Chicago,-6
861,39.0586,-89.4031,America/Chicago,-6
862,37.6578,-89.5119,America/Chicago,-6
863,39.1333,-87.6597,America/Chicago,-6
864,39.8194,-90.5647,America/Chicago,-6
867,41.8278,-87.7236,America/Chicago,-6
874,41.4947,-88.125,America/Chicago,-6
876,39.5906,-89.4964,America/Chicago,-6
879,40.5408,-89.6786,America/Chicago,-6
883,42.3833,-87.8133,America/Chicago,-6
884,41.6334,-88.0626,America/Chicago,-6
886,41.8508,-87.6533,America/Chicago,-6
887,37.2103,-88.8606,America/Chicago,-6
889,38.205,-89.855,America/Chicago,-6
891,40.2797,-90.0775,America/Chicago,-6
892,41.3017,-89.3136,America/Chicago,-6
897,40.1781,-87.7481,America/Chicago,-6
898,38.8639,-90.1325,America/Chicago,-6
913,38.6642,-90.1764,America/Chicago,-6
963,39.7539,-89.6011,America/Chicago,-6
976,37.6206,-88.955,America/Chicago,-6
981,41.7072,-87.5217,America/Chicago,-6
983,38.7383,-85.4192,America/Indiana/Indianapolis,-5
988,39.0831,-84.8581,America/New_York,-5
990,39.7119,-86.1975,America/Indiana/Indianapolis,-5
991,39.4851,-86.4176,America/Indiana/Indianapolis,-5
992,39.7622,-86.1667,America/Indiana/Indianapolis,-5
994,38.5267,-87.2525,America/Indiana/Petersburg,-5
995,41.6433,-87.1225,America/Chicago,-6
996,41.6394,-87.4069,America/Chicago,-6
997,41.7203,-86.9097,America/Chicago,-6
1001,39.9239,-87.4272,America/Indiana/Indianapolis,-5
